,case_enquiry_id,open_dt,sla_target_dt,closed_dt,on_time,case_status,closure_reason,case_title,subject,reason,type,queue,department,submitted_photo,closed_photo,location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,location_street_name,location_zipcode,latitude,longitude,geom_4326,source,bc_distance
18073,101005409557,2024-04-12 20:37:03,,2024-04-12 21:46:28,ONTIME,Closed,Case Closed. Closed date : 2024-04-13 01:46:28.207 Duplicate of Existing Case duplicate 5409559  ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,135 Tremont St  Brighton  MA  02135, ,04,9,D14,Brighton,15,22,2204,135 Tremont St,2135.0,42.35185193699783,-71.17400796136279,0101000020E6100000FFD249F222CB51C04F38F97B092D4540,Constituent Call,1.1643106296017436
21871,101005449790,2024-05-04 19:33:00,,2024-05-04 19:49:19,ONTIME,Closed,Case Closed. Closed date : 2024-05-04 23:49:19.87 Case Resolved Constituent called to cancel. ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,357 Faneuil St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2207,357 Faneuil St,2135.0,42.35213965994564,-71.16528070083878,0101000020E6100000CD3081F593CA51C0A88B91E9122D4540,Constituent Call,1.161397531602197
24879,101005447502,2024-05-02 19:46:00,,,ONTIME,Open, ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,357 Faneuil St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2207,357 Faneuil St,2135.0,42.35213965994564,-71.16528070083878,0101000020E6100000CD3081F593CA51C0A88B91E9122D4540,Constituent Call,1.161397531602197
42428,101005528440,2024-06-22 15:40:50,2024-08-27 04:30:00,2024-07-31 06:04:08,ONTIME,Closed,Case Closed. Closed date : Wed Jul 31 10:04:08 EDT 2024 Resolved Done  ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,,https://spot-boston-res.cloudinary.com/image/upload/v1722434644/boston/production/u0ywrhlm7nawwmtgs3e9.jpg#spot=b02a161b-b3de-4ee3-b631-cb0cbb219c49,133-135 Tremont St  Brighton  MA  02135,11,04,9,D14,Brighton,15,22,2204,133-135 Tremont St,2135.0,42.35184269897222,-71.17402623358487,0101000020E61000002879ED3E23CB51C006B67A2E092D4540,Citizens Connect App,1.1639171667309094
58265,101005478854,2024-05-26 20:31:00,,,ONTIME,Open, ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Atkins St & Hunnewell Ave  Brighton  MA  ,11,04,8,D14,Allston / Brighton,15,22,2213,INTERSECTION Atkins St & Hunnewell Ave,,42.352454551469,-71.17028293414808,0101000020E6100000E84E64EAE5CA51C05FF1113B1D2D4540,Constituent Call,1.1749925459264199
68219,101005528439,2024-06-22 15:40:16,2024-08-27 04:30:00,2024-07-31 06:06:43,ONTIME,Closed,Case Closed. Closed date : Wed Jul 31 10:06:43 EDT 2024 Resolved Done  ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,,https://spot-boston-res.cloudinary.com/image/upload/v1722434799/boston/production/ok9t6jef0xv31s1ccoa6.jpg#spot=db9d5684-1a23-49f3-8236-862119cd96d5,144 Tremont St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2204,144 Tremont St,2135.0,42.351559672147445,-71.1742307223078,0101000020E61000004F919D9826CB51C09E3B47E8FF2C4540,Citizens Connect App,1.1475739328212886
68382,101005676307,2024-09-09 17:50:00,,,ONTIME,Open, ,Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Claymoss Rd & Euston Rd  Brighton  MA  ,11,04,8,D14,Allston / Brighton,15,21,2111,INTERSECTION Claymoss Rd & Euston Rd,,42.34412818036789,-71.1451276036359,0101000020E61000003CD749C549C951C0F22768640C2C4540,Constituent Call,1.3342608783909615
77096,101005755658,2024-11-01 19:52:00,,,ONTIME,Open, ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,4 Elko St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2203,4 Elko St,2135.0,42.34952963997797,-71.14929067086081,0101000020E61000007C3C75FA8DC951C012582263BD2C4540,Constituent Call,1.3791504079628025
80757,101005607233,2024-08-02 15:37:31,2024-10-08 04:30:00,2024-08-27 08:48:56,ONTIME,Closed,Case Closed. Closed date : Tue Aug 27 12:48:56 EDT 2024 Resolved The graffiti at this location was removed by the city of Boston property management graffiti department  ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,,https://spot-boston-res.cloudinary.com/image/upload/v1724777333/boston/production/nmdrjstcau6yjmtmwued.jpg#spot=6a12e73d-5590-4914-8007-50f0c7bc06e0,186R Washington St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2111,186R Washington St,2135.0,42.34627963753878,-71.14709067323123,0101000020E6100000C9C4FFEE69C951C0F93F23E4522C4540,Citizens Connect App,1.3229710303924302
83053,101005730510,2024-10-11 20:36:00,,,ONTIME,Open, ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,27 Eulita Ter  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2203,27 Eulita Ter,2135.0,42.34651964476186,-71.15248068478458,0101000020E6100000F99A583EC2C951C03DD676C15A2C4540,Constituent Call,1.1176039518972365
