,case_enquiry_id,open_dt,sla_target_dt,closed_dt,on_time,case_status,closure_reason,case_title,subject,reason,type,queue,department,submitted_photo,closed_photo,location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,location_street_name,location_zipcode,latitude,longitude,geom_4326,source,bc_distance,bu_distance,nu_distance,hu_distance,mit_distance
0,101005354125,2024-03-16 23:31:00,,,ONTIME,Open, ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,36 Orkney Rd  Brighton  MA  02135,11,04,9,D14,Brighton,15,21,2114,36 Orkney Rd,2135.0,42.33681964287737,-71.14939070003514,0101000020E61000008FBE029E8FC951C08467F3E71C2B4540,Constituent Call,0.9802531560073867,2.4373015341031286,3.0810111841339447,3.046062362540777,3.2450283471493697
1,101005477306,2024-05-24 21:10:00,,,ONTIME,Open, ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,12 Sutherland Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2115,12 Sutherland Rd,2135.0,42.33684964414811,-71.1505507021648,0101000020E6100000028C699FA2C951C087A49EE31D2B4540,Constituent Call,0.9214868896972547,2.4912248213016706,3.1399900293044234,3.0756938343336024,3.295593285583142
2,101005528452,2024-06-22 15:50:25,2024-08-27 04:30:00,2024-07-31 06:13:19,ONTIME,Closed,Case Closed. Closed date : Wed Jul 31 10:13:19 EDT 2024 Resolved Done  ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,,https://spot-boston-res.cloudinary.com/image/upload/v1722435191/boston/production/jb9mijvag2emeb2lbv43.jpg#spot=73d7b38d-76d8-4299-be7a-d99cc9f7436f,INTERSECTION of Glenley Ter & Brayton Rd  Brighton  MA  ,11,04,8,D14,Allston / Brighton,15,22,2204,INTERSECTION Glenley Ter & Brayton Rd,,42.34834547201464,-71.16967643585832,0101000020E610000074BA8DFADBCA51C09C019D95962C4540,Citizens Connect App,0.8895774545369298,3.2855866669337743,4.151995930624548,3.185536872278605,3.938484733603593
3,101005585458,2024-07-26 00:22:00,,,ONTIME,Open, ,Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,2022 Commonwealth Ave  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2116,2022 Commonwealth Ave,2135.0,42.33971465596535,-71.16013271731647,0101000020E610000035F94B9D3FCA51C0E9AB14C57B2B4540,Constituent Call,0.5171341507207806,2.8926994785985376,3.6226706028452758,3.213613602632052,3.6495182903716694
4,101005655002,2024-09-03 06:30:01,2024-11-06 05:30:09,2024-09-03 06:42:51,ONTIME,Closed,Case Closed. Closed date : Tue Sep 03 10:42:51 EDT 2024 Resolved The city of Boston property management department has removed the graffiti at this location with a pressure washer  ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,,https://spot-boston-res.cloudinary.com/image/upload/v1725374568/boston/production/v9y0x7kfch8jipjhdod2.jpg#spot=848f7381-f242-4059-8edd-8194dd8a2833,494 Washington St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2210,494 Washington St,2135.0,42.34875965666616,-71.16170070084644,0101000020E61000000C78E54D59CA51C0CEC50B28A42C4540,City Worker App,0.9797611288619467,2.8774436907983967,3.7538763208071235,2.840934352282117,3.5345265360195826
5,101005650868,2024-08-31 20:36:00,,,ONTIME,Open, ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,26 Radnor Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2209,26 Radnor Rd,2135.0,42.3407196533578,-71.15797071036401,0101000020E610000051AF2E311CCA51C05B239CB39C2B4540,Constituent Call,0.647500645810677,2.7683781067888957,3.5127947804984534,3.088486123412823,3.520913524939738
6,101005731292,2024-10-12 21:15:00,,,ONTIME,Open, ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,45 Orkney Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2114,45 Orkney Rd,2135.0,42.33700964334779,-71.14995070060087,0101000020E6100000F4C5D2CA98C951C0C54ECA21232B4540,Constituent Call,0.9531247702421949,2.4586767287027187,3.108702289410351,3.0499795318549547,3.263453264995948
7,101005755662,2024-11-01 20:02:00,,,ONTIME,Open, ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,1945 Commonwealth Ave  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2116,1945 Commonwealth Ave,2135.0,42.33943965091248,-71.1561407089411,0101000020E61000007B9E9935FEC951C03FD12BC2722B4540,Constituent Call,0.6874256443056108,2.701548752776794,3.418884658803654,3.096375431401379,3.470138881769584
8,101005299932,2024-02-17 20:54:00,,,ONTIME,Open, ,Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,241 Foster St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2208,241 Foster St,2135.0,42.34246965358028,-71.15862070727837,0101000020E6100000A88E77D726CA51C0F8FFAC0BD62B4540,Constituent Call,0.6974831368858992,2.773849108569363,3.55016217287039,3.0209873166404226,3.5077897128511397
9,101005544009,2024-07-03 07:09:16,2024-09-06 07:09:16,2024-07-15 06:39:19,ONTIME,Closed,Case Closed. Closed date : Mon Jul 15 10:39:19 EDT 2024 Resolved The city of Boston property management department has removed the graffiti at this location with a pressure washer  ,Graffiti: Ward 21  2113  Other,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,,,152-164 Chestnut Hill Ave  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2113,152-164 Chestnut Hill Ave,2135.0,42.3414496478756,-71.15433070002777,0101000020E6100000D658DF8DE0C951C09F6D3F9FB42B4540,Self Service,0.8322773876387989,2.575792680845826,3.328252408149679,2.930234136909182,3.3298977963808642
